id,set,title,type,options,answer
1,习概选择题,习近平新时代中国特色社会主义思想被载入宪法是在(        )。,single,A.2018年|B.2017年|C.2019年|D.2020年,A
19,习概选择题,"中国共产党为什么能,中国特色社会主义为什么好,归根到底是()知识点：专题测试",single,"A.马克思主义行,是中国化时代化的马克思主义|B.中国共产党能|C.靠坚持四项基本原则,不犯错误|D.中国特色社会主义好",A
20,习概选择题,中国特色社会主义道路、理论、制度、文化四者统一于(        )。,single,A.中华民族伟大复兴|B.中国特色社会主义伟大实践|C.改革开放|D.社会主义现代化建设,B
21,习概选择题,推进中国式现代化必须坚持团结奋斗，其根本原因是(        )。,single,A.团结奋斗不需要改革开放|B.团结奋斗只适用于困难时期|C.团结奋斗是中国人民创造历史伟业的必由之路|D.团结奋斗可以替代物质条件,C
22,习概选择题,全面建成小康社会，强调的不仅是“小康”，更重要的是(        )。,single,A.“绿色”|B.“协调”|C.“全面”|D.“平衡”,C
23,习概选择题,推进中国式现代化需要牢牢把握的重大原则中，确保我国社会主义现代化建设正确方向的是(        )。,single,A.坚持以人民为中心的发展思想|B.坚持发扬斗争精神|C.坚持深化改革开放|D.坚持和加强党的全面领导,D
24,习概选择题,从2020年到2035年，我国发展的总体目标是(        )。,single,A.建成社会主义现代化强国|B.全面建成小康社会|C.基本实现社会主义现代化|D.完成“三步走”战略的第一步,C
25,习概选择题,中国式现代化坚持以人民为中心的发展思想，把实现人民对美好生活的向往作为现代化建设的(        ),single,A.外部条件|B.根本动力|C.制度保障|D.出发点和落脚点,D
26,习概选择题,我国脱贫攻坚战取得了全面胜利，现行标准下农村贫困人口全部脱贫，人数约为(        )。,single,A.9899万|B.8000万|C.1.2亿|D.5000万,A
27,习概选择题,中国式现代化区别于西方现代化的显著标志是(        )。,single,A.全体人民共同富裕|B.走和平发展道路|C.物质文明和精神文明相协调|D.人口规模巨大,A
28,习概选择题,实现中华民族伟大复兴的中国梦，本质是(        )。,single,A.全面建成小康社会、基本实现现代化、建成现代化强国|B.工业现代化、农业现代化、国防现代化、科学技术现代化|C.经济繁荣、政治稳定、文化昌盛|D.国家富强、民族振兴、人民幸福,D
29,习概选择题,中国式现代化打破了“现代化=西方化”的迷思，这主要体现了中国式现代化的(        )。,single,A.全体人民共同富裕|B.走和平发展道路|C.人口规模巨大|D.创造了人类文明新形态,D
30,习概选择题,中国式现代化是走和平发展道路的现代化，其文化基因是中华民族崇尚(        )。,single,A.厚德载物|B.自强不息|C.独立自主|D.协和万邦,D
31,习概选择题,党的领导是全面的、系统的、(        )。,single,A.统一的|B.整体的|C.集中的|D.绝对的,B
32,习概选择题,坚持党中央集中统一领导是最高(        )。,single,A.工作原则|B.政治原则|C.法治原则|D.组织原则,B
33,习概选择题,中国共产党作为最高政治领导力量，是在(        )中形成的。,single,A.理论创新|B.国际竞争|C.制度建设|D.历史发展,D
34,习概选择题,中国共产党是以(        )为根本组织原则和领导制度的马克思主义政党。,single,A.民主集中制|B.分工负责制|C.集体领导制|D.党指挥枪,A
35,习概选择题,面对新时代新挑战新要求，（     ）就是战胜艰难险阻，不断取得胜利的制胜法宝,single,A.改进完善党的领导|B.全面推进党的改革|C.增加党员人数|D.坚持和加强党的领导,D
36,习概选择题,《中国共产党党章》明确规定，中国共产党是中国工人阶级的先锋队，同时是（    ）,single,A.中国新阶层的先锋队|B.中国人民和中华民族的先锋队|C.中华民族的先锋队|D.中国人民的先锋队,B
37,习概选择题,中国最大的国情是(        )。,single,A.发展不平衡不充分|B.社会主义初级阶段|C.人口众多|D.中国共产党的领导,D
38,习概选择题,坚持党对一切工作的领导，要求党既要善于总揽全局，又要善于(        )。,single,A.包揽一切|B.直接指挥|C.协调各方|D.事必躬亲,C
39,习概选择题,（     ）会议将党的领导制度明确为我国根本领导制度,single,A.十九大|B.十九届四中全会|C.十九届五中全会|D.十九届三中全会,B
40,习概选择题,中国共产党坚持全心全意为人民服务的宗旨，是坚持（     ）的根本要求,single,A.马克思主义唯物史观|B.立党为公、执政为民|C.保持先进性、纯洁性|D.中国特色社会主义道路,A
41,习概选择题,我们党区别于其他政党的显著标志是(        )。,single,A.坚持党的领导|B.坚持改革开放|C.坚持依法治国|D.坚持人民立场,D
42,习概选择题,群众路线是我们党的生命线和根本工作路线，其核心是(        )。,single,A.批评与自我批评|B.一切为了群众，一切依靠群众|C.从群众中来，到群众中去|D.理论联系实际,B
43,习概选择题,坚持人民至上，是我们党百年奋斗的(        )。,single,A.基本工作方法|B.重要制度安排|C.宝贵历史经验|D.根本组织原则,C
44,习概选择题,推动全体人民共同富裕与促进人的全面发展是(        )的。,single,A.没有关联|B.先后关系|C.相互矛盾|D.高度统一,D
45,习概选择题,人民是历史的创造者，是真正的英雄。这体现的是(        )的观点。,single,A.历史唯心主义英雄史观|B.历史唯物主义群众史观|C.辩证唯物主义认识论|D.历史循环论,B
46,习概选择题,坚持以人民为中心的发展思想，必须把(        )作为最重要的政绩。,single,A.财政收入增加|B.国内生产总值增长|C.为民办事、为民造福|D.经济发展速度,C
47,习概选择题,(        )是决定事业兴衰成败的最大的政治。,single,A.发展|B.稳定|C.法治|D.民心,D
48,习概选择题,共同富裕是全体人民共同富裕，是人民群众(        )都富裕。,single,A.精神生活|B.政治生活|C.物质生活|D.物质生活和精神生活,D
49,习概选择题,时代是出卷人，我们是答卷人，(        )是阅卷人。,single,A.历史|B.人民|C.实践|D.时代,B
50,习概选择题,习近平指出，江山就是人民，人民就是江山。中国共产党领导人民打江山、守江山，守的是(        )。,single,A.人民的心|B.发展的成果|C.国家的主权|D.土地的完整,A
51,习概选择题,改革开放是坚持和发展中国特色社会主义的(        )。,single,A.精神力量|B.根本保障|C.必由之路|D.行动指南,C
52,习概选择题,(        )是全面深化改革的出发点和落脚点。,single,A.建成世界一流强国|B.实现“两个一百年”奋斗目标|C.促进社会公平正义|D.增进人民福祉,D
53,习概选择题,党的(        )也是划时代的，实现改革由局部探索、破冰突围到系统集成、全面深化的转变，开创了我国改革开放新局面。,single,A.十八届三中全会|B.二十大|C.十一届三中全会|D.十九届三中全会,A
54,习概选择题,中国特色社会主义制度和国家治理体系是以(        )为指导、植根中国大地、具有深厚中华文化根基、深得人民拥护的制度和治理体系。,single,A.中国特色社会主义|B.马克思主义|C.社会主义|D.毛泽东思想,B
55,习概选择题,全面深化改革开放是一场深刻革命，党的(        )是划时代的，开启了改革开放和社会主义现代化建设新时期。,single,A.十九届三中全会|B.十一届三中全会|C.二十大|D.十八届三中全会,B
56,习概选择题,改革开放是决定当代中国命运的关键一招，也是决定实现“两个一百年”奋斗目标、实现中华民族伟大复兴的(        )。,single,A.必由之路|B.根本保障|C.关键一招|D.强大动力,C
57,习概选择题,全面深化改革的总目标是(        )。,single,A.实现“两个一百年”奋斗目标|B.全面建成社会主义现代化强国|C.完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化|D.实现中国梦,C
58,习概选择题,全面深化改革开放，必须坚持(        )相结合，既勇于探索创新，又确保方向不偏。,single,A.对内改革和对外开放|B.制度改革和法治建设|C.理论创新和实践创新|D.顶层设计和摸着石头过河,D
59,习概选择题,全面深化改革总目标中，规定了改革的根本方向的是(        )。,single,A.推进国家治理体系和治理能力现代化|B.全面建成小康社会|C.完善和发展中国特色社会主义制度|D.实现中华民族伟大复兴,C
60,习概选择题,中国开放的大门只会越开越大，要构建(        )开放型经济新体制。,single,A.更高水平|B.封闭式|C.更低水平|D.选择性,A
61,习概选择题,(        )是发展行动的先导。,single,A.发展理念|B.发展方向|C.发展格局|D.发展策略,A
62,习概选择题,(        )是化解我国经济发展面临困难和矛盾的重大举措。,single,A.社会公平正义|B.人民主体地位|C.供给侧结构性改革|D.健全民主法制,C
63,习概选择题,国有企业是中国特色社会主义的重要物质基础和政治基础，关系(        )地位的巩固，关系我们党的执政地位和执政能力，关系我国社会主义制度。,single,A.公有制主体|B.人民主体|C.经济体制主体|D.社会发展主体,A
64,习概选择题,我国经济已由高速增长阶段转向(        )，正处在转变发展方式、优化经济结构、转换增长动力的攻关期。,single,A.中高速阶段|B.高水平发展阶段|C.低速阶段|D.高质量发展阶段,D
65,习概选择题,(        )的发展理念，相互贯通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。,single,A.创新、和谐、绿色、开放、发展|B.创新、协调、和谐、开放、共赢|C.改革、和谐、绿色、开放、共享|D.创新、协调、绿色、开放、共享,B
66,习概选择题,经济改革的方向是要让(        )在资源配置中发挥决定性作用。,single,A.市场|B.创新|C.政府|D.科技,A
67,习概选择题,(        )是党治国理政的中心工作。,single,A.经济工作|B.外交工作|C.文化工作|D.政治工作,A
68,习概选择题,(        )是根据我国发展阶段、环境、条件变化提出来的，是重塑我国国际合作和竞争新优势的战略抉择，是把握未来发展主动权的战略性布局和先手棋。,single,A.新发展时期|B.新发展阶段|C.新发展格局|D.新发展理念,C
69,习概选择题,我们乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个(        )。,single,A.新发展格局|B.新发展时期|C.新发展方位|D.新发展阶段,D
70,习概选择题,新发展理念中，注重解决发展动力问题的是(        )。,single,A.创新发展|B.协调发展|C.开放发展|D.绿色发展,A
71,习概选择题,发挥新型举国体制优势，关键是要坚持(        )。,single,A.企业主体|B.政府引导|C.党对科技事业的集中统一领导|D.市场主导,C
72,习概选择题,坚持党管人才原则，必须坚持(        )，这是做好人才工作的根本保证。,single,A.聚天下英才而用之|B.全方位培养用好人才|C.深化人才发展体制机制改革|D.党对人才工作的全面领导,D
73,习概选择题,实现高水平科技自立自强，必须完善科技创新体制机制，其中(        )是科技创新的基础。,single,A.基础研究|B.成果转化|C.应用研究|D.技术开发,A
74,习概选择题,党的二十大作出“实施科教兴国战略，强化现代化建设人才支撑”的战略安排，既是对教育、科技发展规律的科学运用，又是立足中国发展方位作出的战略抉择，充分体现了习近平新时代中国特色社会主义思想的(        )。,single,A.系统思维|B.底线思维|C.辩证思维|D.开放思维,A
75,习概选择题,推进教育现代化的总体目标是:到2020年，全面实现“十三五”发展目标;到2035年，总体实现(        )，迈入教育强国行列。,single,A.教育信息化|B.教育科学化|C.教育现代化|D.教育时代化,C
76,习概选择题,办好我国教育事业，必须坚持(        )办学方向。,single,A.自由主义|B.社会主义|C.实用主义|D.资本主义,B
77,习概选择题,(        )是创新的根基，是创新的核心要素。,single,A.人才|B.科技|C.教育|D.资金,A
78,习概选择题,加快实现高水平科技自立自强，必须坚决打赢关键核心技术攻坚战，把(        )牢牢掌握在自己手中。,single,A.市场主导权|B.价格定价权|C.发展主动权|D.资源分配权,C
79,习概选择题,坚持把(        )作为教育的根本任务。,single,A.升学就业|B.培养技能|C.立德树人|D.传授知识,C
80,习概选择题,我国要建设的教育强国，是(        )的教育强国。,single,A.封闭保守|B.完全照搬西方模式|C.世界上规模最大|D.中国特色、世界先进水平,D
81,习概选择题,全过程人民民主首次提出是在(        )。,single,A.2019年11月|B.2021年3月|C.2021年7月|D.2019年7月,A
82,习概选择题,(        )是统治阶级用来实现其阶级利益的政治形式和手段。,single,A.民主|B.监督|C.制度|D.体制,A
83,习概选择题,(        )是中国发展全过程人民民主的根本保证。,single,A.人民当家作主|B.中国特色社会主义制度|C.中国共产党的领导|D.人民民主专政,C
84,习概选择题,社会主义民主的实质是(        )。,single,A.人民代表大会制度|B.中华民族大团结|C.人民当家作主|D.民主集中制,C
85,习概选择题,国家治理高效在于，始终把(        )利益放在第一位。,single,A.人民民主|B.社会团体|C.中国人民|D.中国共产党,C
86,习概选择题,中华民族要实现伟大复兴中国梦，不仅要创造高度的物质文明、精神文明、社会文明、生态文明，而且要建设高度的(        )。,single,A.历史文明|B.工业文明|C.制度文明|D.政治文明,D
87,习概选择题,一个国家是不是民主，应该由这个国家的(        )来评判，而不应该由外部少数人指手画脚来评判。,single,A.社会团体|B.执政党|C.人民|D.国家性质,C
88,习概选择题,(        )是指民主的制度安排，实质民主是指民主始终追求的价值目标，二者有机结合。,single,A.人民民主|B.程序民主|C.协商民主|D.全过程人民民主,B
89,习概选择题,(        )是社会主义的生命，没有民主就没有社会主义，就没有社会主义的现代化，就没有中华民族伟大复兴。,single,A.人民当家作主|B.人民民主|C.以人民为中心|D.坚持人民主体地位,B
90,习概选择题,全面阐释深刻全过程人民民主内涵的时间是(        )。,single,A.2022年3月|B.2021年10月|C.2022年1月|D.2021年11月,B
91,习概选择题,( )是中国特色社会主义的本质要求和重要保障。,single,A.全面建设社会主义现代化国家|B.全面依法治国|C.全面深化改革|D.全面从严治党,B
92,习概选择题,( )是推进全面依法治国的根本保证。,single,A.党的领导|B.人民当家作主|C.社会和谐稳定|D.经济社会发展,A
93,习概选择题,全面依法治国最广泛、最深厚的基础是( ),single,A.党的领导|B.社会稳定|C.人民|D.社会主义民主,C
94,习概选择题,"全面依法治国,总目标是:",single,"A.建设中国特色社会主义法治体系|B.建设中国特色社会主义法治体系,建设社会主义法治国家|C.建设社会主义法治国家|D.有法可依、有法必依、违法必究、执法必严",B
95,习概选择题,( )是国家治理体系和治理能力的重要依托。,single,A.法治|B.民主|C.人民|D.党的领导,A
96,习概选择题,( )是推进全面依法治国的总抓手。,single,A.中国特色社会主义法治国家|B.中国特色社会主义法治体系|C.中国特色社会主义法治道路|D.中国特色社会主义法治制度,B
97,习概选择题,( )是司法的灵魂和生命。,single,A.公平正义|B.民主法治|C.诚信友善|D.社会和谐,A
98,习概选择题,( )是社会主义民主政治的本质特征。,single,A.社会主义制度|B.党的领导|C.人民当家作主|D.依法治国,C
99,习概选择题,"( )是国家根本法,是党和人民意志的集中体现,是国家各种制度和法律法规的总依据。",single,A.法律总纲|B.民法典|C.宪法|D.诉讼法,C
100,习概选择题,( )是法治的生命线。,single,A.立法|B.公正|C.权威|D.为民,B
101,习概选择题,(        )是当代中国文化发展的灵魂。,single,A.马克思主义|B.中国特色社会主义|C.社会主义|D.中华优秀传统文化,A
102,习概选择题,一个国家、一个民族的强盛，总是以文化兴盛为支撑的，中华民族伟大复兴需要以(        )发展繁荣为条件。,single,A.社会主义经济|B.中华文化|C.社会主义制度|D.社会主义文化,B
103,习概选择题,(        )是担负文化使命、实现中华民族伟大复兴的根本保证。,single,A.文化自信|B.民族的科学的大众的文化|C.党的领导|D.文化发展繁荣,C
104,习概选择题,(        )在一定社会的文化中是起中轴作用的，文化的影响力首先是价值观念的影响力。,single,A.价值观念|B.文化力量|C.文化软实力|D.社会意识,A
105,习概选择题,(        )是中华文明的智慧结晶和精华所在，是中华民族的根和魂，是我们在世界文化激荡中站稳脚跟的根基。,single,A.中国特色社会主义文化|B.中华优秀传统文化|C.社会主义先进文化|D.革命文化,B
106,习概选择题,(        )是一个民族赖以维系的精神纽带，是一个国家共同的思想道德基础。,single,A.核心价值观|B.社会主义核心价值观|C.理想信念|D.社会主义核心价值体系,A
107,习概选择题,提升国家文化软实力，要着力提高国际传播影响力、中华文化感召力、中国形象亲和力、中国话语说服力和(        )。,single,A.文化安全保障力|B.文化产业发展力|C.文化市场竞争力|D.国际舆论引导力,D
108,习概选择题,建设社会主义文化强国，必须培养高度的(        )。,single,A.文化自信|B.文化软实力|C.文化创造活力|D.文化自觉,A
109,习概选择题,建设中国特色社会主义文化，必须牢牢掌握(        )。,single,A.意识形态工作领导权|B.网络空间的治理和引导|C.中国特色社会主义科学体系的构建|D.马克思主义的科学理论,A
110,习概选择题,(        )是更基础、更广泛、更深厚的自信，是一个国家、一个民族发展中最基本、最深沉、最持久的力量。,single,A.文化自信|B.文化软实力|C.中国特色社会主义文化|D.文化自觉,A
111,习概选择题,(        )是保障和改善民生、维护社会公平正义、增进人民福祉的基本途径之一。,single,A.提高就业质量|B.建设高质量教育体系|C.优化收入分配结构|D.健全社会保障体系,D
112,习概选择题,推进健康中国建设，要把(        )放在优先发展的战略位置。,single,A.公共卫生体系建设|B.医疗卫生体制改革|C.人民健康|D.健康产业,C
113,习概选择题,基层治理是国家治理的基石，统筹推进乡镇(街道)和城乡社区治理，是实现(        )的基础工程。,single,A.中华民族伟大复兴|B.中国特色社会主义法治道路|C.国家治理体系和治理能力现代化|D.完善适应社会治理方式和治理能力,C
114,习概选择题,民生是人民幸福之基、社会和谐之本。带领人民群众创造幸福生活，要顺应人民群众对美好生活的向往，坚持(        )的发展思想，以(        )为重点，发展各项社会事业。,single,A.以人为本;提高就业质量和人民收入水平|B.以人民为中心;保障和改善民生|C.以经济建设为中心;优先发展教育事业|D.以社会和谐为中心;加强社会保障体系建设,B
115,习概选择题,加强和创新社会治理，必须把(        )作为社会治理的重心。,single,A.农村治理|B.城市治理|C.基层治理|D.社区治理,C
116,习概选择题,要坚持(        )为主体，提高劳动报酬在初次分配中的比重，完善按要素分配政策。,single,A.按劳分配|B.按生产要素|C.按人民需求|D.按社会制度,A
117,习概选择题,加强和创新社会治理，关键在(        )。,single,A.理论创新|B.制度创新|C.治理创新|D.体制创新,D
118,习概选择题,坚持以人民为中心的发展思想，在高质量发展中促进共同富裕，正确处理(        )的关系，构建初次分配、再分配、三次分配协调配套的基础性制度安排。,single,A.效率和公平|B.经济和社会|C.收入和分配|D.政府和市场,A
119,习概选择题,在发展中保障和改善民生，就是要多谋民生之利、多解民生之忧，在(        )中补齐民生短板、促进社会公平正义。,single,A.建设|B.协调|C.发展|D.完善,C
120,习概选择题,(        )是政府联系群众的“最后一公里”。,single,A.基层党支部|B.乡村人民政府|C.居委会|D.城乡社区,D
121,习概选择题,建设生态文明，要以（）为基础，以自然恢复为主,single,A.人口规模|B.经济发展水平|C.科技发展水平|D.资源环境承载能力,D
122,习概选择题,"加快构建生态文明体系,确保到( )美丽中国目标基本实现。",single,A.2030年|B.2020年|C.2025年|D.2035年,D
123,习概选择题,"习近平生态文明思想是习近平新时代中国特色社会主义思想的重要组成部分,是新时代我国生态文明建设的根本遵循和行动指南。其主要内容包含( )",single,A.八个明确|B.十三个必须|C.十个坚持|D.十五个协调,C
124,习概选择题,建设生态文明，要以（）为基础，以自然恢复为主。,single,A.资源环境承载能力|B.人口规模|C.经济发展水平|D.科技发展水平,A
125,习概选择题,"气候变化等全球性生态环境问题导致当代世界生态环境风险凸显,需要国际社会共同担当和应对。积极参与全球( )是我国生态文明建设的有机组成部分",single,A.生态建设|B.环境治理|C.经济建设|D.环境保护,B
126,习概选择题,"人因自然而生,人与自然是一种( )。",single,A.共生关系|B.生存关系|C.敌对关系|D.利用关系,A
127,习概选择题,"( )是一个系统整体,山水林田湖草沙构成相依共存、有机关联的生命共同体。",single,A.生态系统|B.生物多样性|C.自然生态观|D.生产力,C
128,习概选择题,"要树立尊重自然、顺应自然、保护自然的生态文明理念,增强( )的意识。",single,A.金山银山不如绿水青山|B.绿水青山就是金山银山|C.金山银山就是绿水青山|D.绿水青山胜过金山银山,B
129,习概选择题,"生态环境是关系党的使命宗旨的重大政治问题,也是关系( )的重大社会问题。",single,A.教育|B.科技|C.文化|D.民生,D
130,习概选择题,"习近平""两山论”的突出贡献是( )",single,A.马克思主义世界观的新成果|B.马克思主义文明观的新成果|C.马克思主义生产力观的新成果|D.马克思主义唯物史观的新成果,C
131,习概选择题,每年( )被确定为全民国家安全教育日。,single,A.4月15日|B.6月15日|C.5月17日|D.7月30日,A
132,习概选择题,"坚持总体国家安全观,以（    ）为根本。",single,A.国内安全|B.人民安全|C.国际安全|D.政治安全,D
133,习概选择题,( )设立中央国家安全委员会。,single,A.2014.2|B.2013.11|C.2016.12|D.2016.3,B
134,习概选择题,"国家安全工作,归根结底是保障( ),为群众安居乐业提供坚强保障。有了安全感,获得感才有保障,幸福感才会持久。",single,A.社会稳定|B.人民利益|C.经济发展|D.领土完整,B
135,习概选择题,"坚持总体国家安全观,必须坚持以( )为宗旨。",single,A.国际安全|B.人民安全|C.政治安全|D.国内安全,B
136,习概选择题,"( )是人民幸福安康的基本要求,是安邦定国的重要基石。",single,A.社会稳定|B.国家富强|C.国家安全|D.人民富裕,C
137,习概选择题,"( )是中华民族能够生生不息、绵延不绝的文化基因,也是融入中国共产党精神血脉的政治品质。",single,A.以和为贵|B.大同世界|C.忧患意识|D.天下一家,C
138,习概选择题,"面对波谲云诡的国际形势、复杂敏感的周边环境、艰巨繁重的改革发展稳定任务,我们必须树立( )。",single,A.全局意识|B.零和思维|C.底线思维|D.忧患意识,C
139,习概选择题,"( )将“坚持总体国家安全观”纳入新时代坚持和发展中国特色社会主义的基本方略,并写入党章。",single,A.党的十八届三中全会|B.党的十九大|C.党的二十大|D.党的十九届六中全会,B
140,习概选择题,"( )与人民群众切身利益关系最密切,是人民群众安全感的晴雨表,是社会安定的风向标。",single,A.经济安全|B.社会安全|C.政治安全|D.文化安全,B
141,习概选择题,"全党全军全国各族人民要大力弘扬( )的光荣传统,不断发展坚如磐石的军政军民关系。",single,A.军爱民|B.军爱民、民拥军|C.民拥军|D.军民团结,B
142,习概选择题,"( ),是决定军队建设的政治方向。",single,A.听党指挥是灵魂|B.军民融合是关键|C.作风优良是保证|D.能打胜仗是核心,A
143,习概选择题,"把( )作为唯一的根本的标准,是有效履行我军根本职能的内在要求,也是提高军队建设质量效益的客观需要。",single,A.军事改革|B.政治建军|C.军事创新|D.战斗力,D
144,习概选择题,"党的十九大报告指出,必须全面贯彻党领导人民军队的一系列根本原则和制度,确立 ( )在国防和军队建设中的指导地位。",single,A.新时期党的强军思想|B.新时代党的建军思想|C.新时期党的建军思想|D.新时代党的强军思想,D
145,习概选择题,( )是军队最重要的战略资源。,single,A.武装装备|B.战斗精神|C.军事人才|D.优良传统,C
146,习概选择题,"军队是要准备打仗的,一切工作都必须坚持( )标准,向能打仗、打胜仗聚焦。",single,A.斗争力|B.硬实力|C.战争力|D.战斗力,D
147,习概选择题,"培养“四有”新时代革命军人,锻造“四铁”过硬部队。“四有”指的是( )",single,A.有理想、有本领、有担当、有希望|B.有志气、有底气、有骨气、有勇气|C.有灵魂、有本事、有血性、有品德|D.有本领、有胆略、有灵魂、有斗志,C
148,习概选择题,( )是党指挥枪原则落地生根的坚实基础。,single,A.支部建在营上|B.支部建在团上|C.支部建在连上|D.支部建在排上,C
149,习概选择题,( )是国家安全的准则。,single,A.国际安全|B.国家利益至上|C.人民安全|D.政治安全,B
150,习概选择题,"力争到二〇三五年______国防和军队现代化,到本世纪中叶把人民军队______世界一流军队。( )",single,A.全面实现;基本建成|B.基本实现;全面建成|C.全面实现;全面建成|D.基本实现;基本建成,B
151,习概选择题,"2022年7月1日,习近平在庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼上的讲话中指出,只有深刻理解和准确把握“一国两制”的( ),才能确保“一国两制”事业始终朝着正确的方向行稳致远。",single,A.发展规律|B.历史规律|C.现实规律|D.实践规律,D
152,习概选择题,( )是两岸关系的政治基础。,single,A.促进两岸人文交流|B.一个中国原则|C.继续推进两岸“三通”|D.协商解决两岸同胞关心的问题,B
153,习概选择题,"( ),邓小平会见美国华人协会主席李耀滋时说:“九条方针是以叶剑英副主席的名义提出来的,实际上就是一个国家,两种制度。”这是邓小平首次提出“一国两制”的概念。",single,A.1997年2月11日|B.1982年1月11日|C.1983年2月11日|D.1992年1月21日,B
154,习概选择题,“一国两制”方针最早是为了解决（）问题而提出的。,single,A.台湾|B.深圳|C.香港|D.澳门,A
155,习概选择题,"( ),中共中央、国务院印发的《横琴粤澳深度合作区建设总体方案》发布,为新形势下粤澳合作开发横琴按下快进键。",single,A.2021年9月5日|B.2020年9月5日|C.2021年10月1日|D.2020年10月1日,A
156,习概选择题,中央政府对特别行政区拥有（  ），这是特别行政区高度自治权的源头。,single,A.自主选择权|B.立法管治权|C.高度管理权|D.全面管治权,D
157,习概选择题,“一国两制”是一个完整的概念。“一国”是实行“两制”的（ ），“两制”从属和派生于“一国”并统一于“一国”之内。,single,A.方向和路径|B.前提和基础|C.结果和目标|D.目标和原则,B
158,习概选择题,中央政府对特别行政区拥有的全面管治权，既包括中央直接行使的权力，也包括（）,single,A.保障特别行政区外交权|B.保障特别行政区完全自治权|C.保障特别行政区独立权|D.保障特别行政区高度自治权,D
159,习概选择题,维护国家主权、安全、发展利益，坚持“一国”是实行“两制”的（）,single,A.前提和基础|B.目标和方向|C.根本和核心|D.条件和保障,A
160,习概选择题,（         ）是两岸关系的政治基础。,single,A.促进两岸人文交流|B.协商解决两岸同胞关心的问题|C.继续推进两岸“三通”|D.一个中国原则,D
161,习概选择题,坚持以( )为理念引领全球治理体系变革。,single,A.维护世界和平、促进共同发展|B.深化外交布局|C.国家核心利益|D.公平正义,D
