id,set,title,type,options,answer
1,毛概单选题,促使我党思考和探索如何走中国工业化道路的直接原因是(        ),single,A.我国生产力落后，经济基础薄弱|B.受苏联的影响，强调重工业的发展。|C.我国重工业、农业和轻工业发展的比例失调|D.以苏为鉴，吸取苏联在建设社会主义中的教训,D
28,毛概单选题,党的十二届三中全会提出了社会主义经济是( ),single,A.有计划的商品经济|B.社会主义计划经济|C.自由市场经济|D.社会主义市场经济,A
29,毛概单选题,邓小平和我们党对当代中国基本国情的科学判断是( ),single,A.我国已经是发达社会主义|B.我国正处于社会主义初级阶段|C.中国特色社会主义进入新时代|D.我国是最大的发展中国家,B
30,毛概单选题,( )邓小平第一次把社会主义初级阶段作为事关全局的基本国情加以把握，明确了这一基本国情是制定路线方针政策的出发点和根本依据。,single,A.党的十三大召开前夕|B.党的十四大|C.党的十二大开幕词|D.党的十一届三中全会,A
31,毛概单选题,建设社会主义政治文明，最根本的就是要:( ),single,A.全面进行政治体制改革，建立宪政国家|B.坚持改革开放，建设法治国家|C.坚持党的领导、人民当家作主和依法治国的有机统一|D.全面建成小康社会，实现经济高速增长扩张,C
32,毛概单选题,我们党站在时代前列，保持先进性的根本体现和根本要求是( ),single,A.始终代表中国先进生产力的发展要求，大力促进先进生产力的发展|B.必须牢牢把握先进文化的前进方向，建设社会主义精神文明|C.不断实现好维护好发展好最广大人民的根本利益|D.满足人民群众日益增长的物质文化需要,A
33,毛概单选题,明确提出使用“社会主义市场经济体制”这个提法的是( ),single,A.邓小平|B.江泽民|C.习近平|D.胡锦涛,B
34,毛概单选题,社会主义(初级阶段)基本经济制度是( ),single,A.公有制为主体、多种所有制经济共同发展|B.国家保护一切财产安全和利益|C.各类市场主体自由竞争|D.建立健全社会主义分配制度,A
35,毛概单选题,“三个代表”重要思想是有机联系科学体系，贯彻‘三个代表’重要思想 ，关键在:( ),single,A.坚持执政为民|B.保持党的先进性|C.坚持与时俱进|D.以人为本的立场,C
36,毛概单选题,江泽民强调，我们党的最大的政治优势是( ),single,A.当今中国的执政党、领导党|B.党员数量众多，是世界第一大党|C.密切联系群众|D.从小到大，从弱变强，走过近百年的历程,C
37,毛概单选题,坚持党的领导，核心是( ),single,A.坚持党的先进性|B.坚持党的优良传统|C.坚持党要管党|D.坚持党的阶级基础,A
38,毛概单选题,江泽民曾强调指出，马克思主义最重要的理论品质是( ),single,A.与时俱进|B.批评与自我批评|C.敢讲真话，做实事|D.尊重实践、尊重群众,A
39,毛概单选题,江泽民在党的十五大报告中明确指出:依法治国，是党领导人民治理国家的( ),single,A.基本路线|B.基本纲领|C.基本经验|D.基本方略,D
40,毛概单选题,生产力最革命、最活跃的因素是( ),single,A.劳动对象|B.生产资料|C.科学技术|D.人,D
41,毛概单选题,全面协调可持续中的“全面”是指:( ),single,A.发展要有协调性、均衡性，各个方面、各个环节的发展要相互适应、相互促进|B.发展要有全面性、整体性，不仅经济发展，而且各个方面都要发展|C.发展要有速度、效率、时间，不仅追求公平、正义、平衡|D.发展要有持久性、连续性，不仅当前要发展，而且要保证长远发展,B
42,毛概单选题,胡锦涛指出，我们推进发展的根本目的就是( ),single,A.社会秩序稳定|B.保证党的执政地位|C.建立和谐世界|D.造福人民,D
43,毛概单选题,科学发展观最鲜明的精神实质是( ),single,A.立党为公，执政为民|B.解放思想、实事求是、与时俱进、求真务实坚持党的先进性|C.实事求是、群众路线、独立自主|D.真理性与实践性、科学性与开放性和历史性与时代性的统一,B
44,毛概单选题,科学发展观的核心立场是( ),single,A.可持续发展|B.协调发展|C.以人为本|D.全面发展,C
45,毛概单选题,科学发展观强调，社会主义民主政治的本质和核心是( ),single,A.人民当家作主|B.建立现代经济体系|C.发展社会主义社会生产力|D.实现人民愿望、满足人民需要、维护人民利益,A
46,毛概单选题,科学发展观所说的以人为本是( ),single,A.以全体中国公民利益为本|B.以中国人民的所有利益和自由为本|C.以中国最广大人民的根本利益为本|D.以中华民族的利益为本,C
47,毛概单选题,科学发展观强调，推动经济持续健康发展，必须坚持的主题( ),single,A.人的全面发展|B.以人为本|C.中国特色社会主义现代经济体系|D.科学发展,D
48,毛概单选题,( )是马克思主义政党的本质属性，是马克思主义政党的生命所系、力量所在。,single,A.全民性|B.群众性|C.阶级性|D.先进性,D
49,毛概单选题,科学发展观的根本方法是( ),single,A.以人为本|B.发展|C.统筹兼顾|D.全面协调可持续,C
50,毛概单选题,胡锦涛强调，决定着中国特色社会主义发展方向是( ),single,A.社会主义市场经济体制|B.社会主义核心价值体系|C.中国共产党的领导和执政|D.发展社会主义生产力，特别是先进生产力,B
