id,set,title,type,options,answer
1,习概多选题,“两个结合”的重大意义包括(        )。,multiple,A.提升了党的历史自信和文化自信|B.标志着马克思主义中国化的完成|C.拓展了中国特色社会主义道路的文化根基|D.开辟了理论和实践创新空间,"A,C,D"
36,习概多选题,发挥新型举国体制优势，要求(        )。,multiple,A.要坚持党对科技事业的集中统一领导|B.要坚持以经济建设为中心|C.要全面推进科技体制改革|D.要注重技术的引进和吸收,"A,C"
37,习概多选题,加快建设教育强国，必须(        )。,multiple,A.坚持立德树人|B.坚持服务中华民族伟大复兴|C.坚持优先发展教育事业|D.坚持党对教育事业的全面领导,"A,B,C,D"
38,习概多选题,加快建设世界重要人才中心和创新高地，(        )。,multiple,A.必须把握战略主动，做好顶层设计和战略谋划|B.需要进行战略布局|C.必须走好人才自主培养之路|D.必须抓好国家战略人才力量,"A,B,C,D"
39,习概多选题,建设教育强国，(        )。,multiple,A.坚持把立德树人作为根本任务|B.坚持扎根中国大地办教育|C.坚持党对教育事业的全面领导|D.坚持社会主义办学方向,"A,B,C,D"
40,习概多选题,教育、科技、人才的内在逻辑关系是(        )。,multiple,A.人才是全面建设社会主义现代化国家的直接动力|B.科技是全面建设社会主义现代化国家的强大动力|C.人才是全面建设社会主义现代化国家的有力支撑|D.教育是全面建设社会主义现代化国家的坚实基础,"B,C,D"
41,习概多选题,"走中国特色社会主义政治发展道路,必须坚持( )有机统一。",multiple,"A.巩固和发展最广泛的爱国统一战线|B.人民当家作主 ,依法治国|C.党的领导|D.推进国家治理体系和治理能力现代化","B,C"
42,习概多选题,"全过程人民民主是( )的民主,是最广泛、最真实、最管用的社会主义民主。",multiple,A.全覆盖|B.全方位|C.全方面|D.全链条,"A,B,D"
43,习概多选题,"人民既是民主的( ),也是民主的( ),智慧力量充分激发,既为自己也为国家、民族拼搏奋斗。",multiple,A.决策者|B.参与者|C.执行者|D.受益者,"B,D"
44,习概多选题,"发展社会主义民主政治是中国共产党始终不渝的奋斗目标,是实现中华民族伟大复兴的( )。",multiple,A.必要条件|B.显著标识|C.根本标志|D.重要标准,"A,B"
45,习概多选题,全过程人民民主实现了( )。,multiple,A.程序民主和实质民主相统一|B.人民民主和国家意志相统一|C.过程民主和成果民主相统一|D.直接民主和间接民主相统一,"A,B,C,D"
46,习概多选题,"要坚持( )相结合,实现法治和德治相辅相成、相得益彰。",multiple,A.依法治国|B.协同发展|C.全面发展|D.以德治国,"A,D"
47,习概多选题,( )三者各有侧重、相辅相成。,multiple,A.法治国家|B.法治体系|C.法治政府|D.法治社会,"A,C,D"
48,习概多选题,"准确把握全面推进依法治国重点任务,着力推进( )。",multiple,A.科学立法|B.严格执法|C.公正司法|D.全民守法,"A,B,C,D"
49,习概多选题,( )发挥和在法治社会建设中的积极作用。,multiple,A.人民团体|B.社会组织|C.政府机构|D.事业单位,"A,B"
50,习概多选题,"全面推进依法治国,必须大力提高法治工作队伍思想政治素质、业务工作能力、职业道德水准,着力建设一支( )的社会主义法治工作队伍。",multiple,A.忠于党|B.忠于国家|C.忠于人民|D.忠于法律,"A,B,C,D"
51,习概多选题,建设社会主义文化强国，必须做到(        )。,multiple,A.培养高度的文化自信|B.提升公共文化服务水平|C.提高国家文化软实力|D.健全现代文化产业体系,"A,B,C,D"
52,习概多选题,增强意识形态领域主导权和话语权，坚定广大干部群众的(        )。,multiple,A.理论自信|B.道路自信|C.制度自信|D.文化自信,"A,B,C,D"
53,习概多选题,到本世纪中叶，我国将全面建成(        )美丽的社会主义现代化强国。,multiple,A.文明|B.富强|C.和谐|D.民主,"A,B,C,D"
54,习概多选题,一个国家的文化软实力，从根本上说，取决于其核心价值观的(        )。,multiple,A.凝聚力|B.生命力|C.影响力|D.感召力,"A,B,D"
55,习概多选题,社会主义核心价值观涉及国家、社会、公民三个层面的价值要求，具体表达为(        )。,multiple,A.自由、民族、公正、法治|B.爱国、敬业、诚信、友善|C.富强、民主、文明、和谐|D.自由、平等、公正、法治,"B,C,D"
56,习概多选题,坚持专群结合、群防群治，提高社会治安(        )水平，形成问题联治、工作联动、平安联创的工作机制。,multiple,A.立体化|B.专业化|C.智能化|D.法治化,"A,B,C,D"
57,习概多选题,适应人民美好生活需要新变化，按照(        )的工作思路，采取针对性更强、覆盖面更大、作用更直接、效果更明显的举措。,multiple,A.引导预期|B.守住底线|C.突出重点|D.完善制度,"A,B,C,D"
58,习概多选题,加强和创新社会治理，改进社会治理方式，要坚持(        )。,multiple,A.综合治理|B.依法治理|C.源头治理|D.系统治理,"A,B,C,D"
59,习概多选题,坚持(        )方向，聚焦影响国家安全、社会安定、人民安宁的突出问题。,multiple,A.共享|B.共治|C.共建|D.共谋,"A,B,C"
60,习概多选题,脱贫攻坚精神是(        )。,multiple,A.攻坚克难、不负人民|B.纾困解难、众志成城|C.上下同心、尽锐出战|D.精准务实、开拓创新,"A,C,D"
61,习概多选题,"加快形成绿色生活方式,增强全面(),培养生态道德和行为习惯",multiple,A.发展意识|B.环保意识|C.节约意识|D.生态意识,"B,C,D"
62,习概多选题,"在整个发展过程中,我们都要坚持()的方针,要像保护眼睛一样保护生态环境",multiple,A.保护优先|B.自然恢复为主|C.发展为主|D.节约优先,"A,B,D"
63,习概多选题,建设生态文明是关系( )、关乎( )的千年大计,multiple,A.社会长治久安|B.国家发展|C.中华民族永续发展|D.人民福祉,"C,D"
64,习概多选题,"要加快推进( ),开创美丽中国建设新局面。",multiple,A.循环发展|B.低碳发展|C.可持续发展|D.绿色发展,"A,B,D"
65,习概多选题,"绿水青山就是金山银山,阐述了()和( )的关系",multiple,A.经济发展|B.人类生存|C.社会和谐|D.生态环境保护,"A,D"
66,习概多选题,政治安全的核心是( )。,multiple,A.人民安全|B.制度安全|C.政权安全|D.粮食安全,"B,C"
67,习概多选题,"要坚持( )的新安全观,积极塑造外部安全环境",multiple,A.综合|B.共同|C.合作|D.可持续,"A,B,C,D"
68,习概多选题,"敢于直面风险、战胜风险,是中华民族和中国人民的强大基因,是( )的精华。",multiple,A.中国精神|B.中华民族|C.中国品格|D.中华文化,"A,D"
69,习概多选题,"加强( ),巩固国家安全人民防线。",multiple,A.爱国主义教育|B.国家安全宣传教育|C.全民国防教育|D.文化素质教育,"B,C"
70,习概多选题,"政治安全的核心是( ),最根本的就是( )。",multiple,A.维护中国共产党的领导和执政地位|B.维护中国特色社会主义制度|C.制度安全|D.政权安全,"A,B,C,D"
71,习概多选题,"必须全面贯彻党领导军队的一系列根本原则和制度,确保军队( )。",multiple,A.绝对服从|B.绝对纯洁|C.绝对忠诚|D.绝对可靠,"B,C,D"
72,习概多选题,"建设世界一流军队,就是要锻造( )的精兵劲旅。",multiple,A.来之能战|B.召之即来|C.能打硬仗|D.战之必胜,"A,B,D"
73,习概多选题,党在新时代的强军目标是建设一支( )的人民军队。,multiple,A.作风优良|B.听党指挥|C.能打胜仗|D.敢于创新,"A,B,C"
74,习概多选题,"加强国防教育,增强全民国防观念,使( )成为全社会的思想共识和自觉行动。",multiple,A.热爱国防|B.建设国防|C.关心国防|D.保卫国防,"A,B,C,D"
75,习概多选题,"军队要创新发展军事战略指导,构建中国特色现代作战体系,全面提高新时代备战打仗能力有效( )",multiple,A.遏制战争|B.管控危机|C.打赢战争|D.塑造态势,"A,B,C,D"
76,习概多选题,"全面准确理解和贯彻“一国两制”方针政策,必须准确把握“一国两制”的含义。“一国两制”是一个完整的概念,“一国”与“两制”的关系是( )。",multiple,A.“一国”是实行“两制”的前提|B.“两制”从属和派生于“一国”|C.“两制”统一于“一国之内”|D.“两制”是实行“一国”的基础,"A,B,C"
77,习概多选题,"“一国两制”构想在实践中首先被运用于解决香港、澳门问题。按照这一伟大构想,和香港、澳门相继回归祖国,改变了历史上但凡收复失地都要大动干戈的所谓定势,创造了推进祖国和平统一的伟大创举。",multiple,A.1999年|B.1997年|C.2000年|D.1998年,"A,B"
78,习概多选题,"“一国两制”重要制度,立足中国国情,顺应时代潮流,观照人民福祉,把、、统一起来,凝结了中国共产党人为解决国家统一问题展现出的超凡勇气和卓越智慧,是人类政治文明史上前无古人的伟大创举。",multiple,A.原则性和灵活性|B.理论性和实践性|C.现实性和长远性|D.一致性和差异性,"A,C,D"
79,习概多选题,"特别行政区坚持实行行政主导体制,( )机关依照基本法和相关法律履行职责,行政机关和立法机关既互相制衡又互相配合,司法机关依法独立行使审判权。",multiple,A.立法|B.司法|C.执法|D.行政,"A,B,D"
80,习概多选题,"我们要全面准确贯彻( )的方针,落实中央对香港、澳门特别行政区全面管治权。",multiple,A.高度自治|B.“一国两制”|C.“港人治港”|D.“澳人治澳”,"A,B,C,D"
81,习概多选题,新型国际关系的内容是( ),multiple,A.合作共赢|B.相互尊重|C.公平正义|D.和平共处,"A,B,C"
82,习概多选题,和平发展是中国基于( )作出的战略抉择。,multiple,A.文化传统|B.自身国情|C.国际形势|D.社会制度,"A,B,D"
83,习概多选题,"建设一个持久和平的世界,根本要义在于国家之间要构建( )的伙伴关系。",multiple,A.相互理解|B.平等相待|C.互学互鉴|D.互商互谅,"B,C,D"
84,习概多选题,"积极推动中美关系稳定发展,同俄罗斯发展全面战略协作伙伴关系,同欧洲发展( )伙伴关系。",multiple,A.文明|B.和平|C.改革|D.增长,"A,B,C,D"
85,习概多选题,"构建人类命运共同体,其核心就是建设持久和平、( )的世界。",multiple,A.共同繁荣|B.开放包容|C.清洁美丽|D.普遍安全,"A,B,C,D"
86,习概多选题,中国走和平发展道路( ),multiple,A.符合周边国家利益|B.符合世界各国利益|C.符合中国根本利益|D.符合大国利益,"A,B,C"
87,习概多选题,"中国的治理理念和实践受到高度赞赏和广泛认同,国际( )进一步提高。",multiple,A.影响力|B.发展力|C.塑造力|D.感召力,"A,C,D"
88,习概多选题,"在处理国际关系和外交关系方面,我们应坚持( )的外交工作布局。",multiple,A.多边是舞台|B.发展中国家是基础|C.周边是首要|D.大国是关键,"A,B,C,D"
89,习概多选题,"构建人类命运共同体,经济上要同舟共济,促进贸易和投资自由化便利化,推进经济全球化朝着更加( )共赢的方向发展。",multiple,A.开放|B.平衡|C.包容|D.普惠,"A,B,C,D"
90,习概多选题,"和平与发展仍然是当今时代主题,( )成为不可阻挡的时代潮流。",multiple,A.和平|B.合作|C.共赢|D.发展,"A,B,C,D"
91,习概多选题,新形势下党面临“四大考验”是( ),multiple,A.外部环境考验|B.市场经济考验|C.改革开放考验|D.长期执政考验,"A,B,C,D"
92,习概多选题,"办好中国的事情,关键在党,关键在( )。",multiple,A.坚持党要管党|B.全面从严治党|C.全面依法治党|D.人民群众监督,"A,B"
93,习概多选题,( )是关系党生死存亡的问题。,multiple,A.党同人民群众联系问题|B.党风问题|C.党的自身发展问题|D.党性问题,"A,B"
94,习概多选题,主线是加强党的长期( )。,multiple,A.制度性建设|B.执政能力建设|C.纯洁性建设|D.先进性建设,"B,C,D"
95,习概多选题,"我们党在一个幅员辽阔、人口众多的发展中大国长期执政,如果没有铁的纪律,就没有党的团结统一,党的( )就会大大削弱,党的领导能力和执政能力就会大大削弱。",multiple,A.凝聚力|B.战斗力|C.组织力|D.向心力,"A,B"
