id,set,title,type,options,answer
1,听力第一章,,single,A. Feeling happy.|B. Feeling miserable.|C. Feeling cheerful.|D. Feeling healthy.,B
30, 听力第一章,,single,A. Taking challenges whenever he could.|B. Training teachers in rural areas in Yunnan.|C. Travelling around the world to visit more places.|D. Attracting young talents to make an impact.,D
31, 听力第一章,,single,A. Because air pollution makes him out of breath.|B. Because air pollution makes him feel threatened.|C. Because air pollution could endanger the green land.|D. Because air pollution could destroy nature.,D
32, 听力第一章,,single,A. Riding bicycles.|B. Producing millions of vehicles.|C. Cutting down trees.|D. Occupying buildings.,C
33, 听力第一章,,single,A. Trees produce carbon dioxide.|B. Trees release greenhouse gases.|C. Trees regulate the humidity.|D. Trees provide people warm places to go.,C
34, 听力第一章,,single,A. Using paper bags.|B. Using handkerchiefs.|C. Turning off electrical appliances.|D. Driving cars.,D
35, 听力第一章,,single,A. Wolong.|B. Dujiangyan.|C. Ya'an Bifengxia.|D. Qingchengshan.,B
36, 听力第一章,,single,A. Because it has beautiful scenic surroundings.|B. Because it includes a full set of enclosures.|C. Because it could minimize the risk of diseases for pandas.|D. Because it holds every panda that comes in and out of China for quarantine.,D
37, 听力第一章,,single,A. A public reception area.|B. Interactive plays.|C. Rescue units.|D. Exhibits.,D
38, 听力第一章,,single,A. Qomolangma.|B. Guanabara Bay.|C. The Great Barrier Reef.|D. The Zambezi River.,B
39, 听力第一章,,single,A. It is a now-active volcano.|B. It is the only volcano in Mexico.|C. It stopped erupting in 1952.|D. It will never erupt again.,C
40, 听力第一章,,single,A. By different coloured lights above Earth's atmosphere.|B. By different coloured lights entering Earth's atmosphere.|C. By charged cosmic particles above Earth's atmosphere.|D. By charged cosmic particles entering Earth's atmosphere.,D
41, 听力第一章,,single,A. It is a box used to pay for something expensive.|B. People can take out from the box the right amount of money.|C. It is a box relying on people being honest.|D. A sales assistant helps people use the box.,C
42, 听力第一章,,single,A. Humans have evolved with the capacity to be dishonest.|B. People can gain an advantage through being dishonest.|C. Being dishonest is part of humans' psychological makeup.|D. People will have smaller chance of surviving through being dishonest.,D
43, 听力第一章,,single,A. Because it helps people save money.|B. Because people are members of their social group.|C. Because honesty boxes are used in business.|D. Because everybody else acts honestly.,B
44, 听力第一章,,single,A. Neil.|B. Jane.|C. Philip Graves.|D. Benjamin Franklin.,D
45, 听力第一章,,single,A. Because they are regarded as the most beloved plants.|B. Because they all thrive through the cold winter days.|C. Because they are esteemed and pursued by Chinese people.|D. Because they are very common and can be seen everywhere.,B
46, 听力第一章,,single,A. It is respected for its pride and honour.|B. It is withered when the day of Cold Dew arrives.|C. It is inflexible and modest and is honoured as a gentleman.|D. It is the symbol of security and auspice.,B
47, 听力第一章,,single,A. They are the symbol of noble characters.|B. They can be seen everywhere in China.|C. They are used to break away from the old and evil.|D. They are characterized as the advent of good news.,A
48, 听力第一章,,single,A. How to make a series of decisions in life.|B. How to be critical when making difficult choices.|C. How to discover and choose core values.|D. How to involve a person in choosing values.,C
49, 听力第一章,,single,A. To choose one's values from a list of values.|B. To match one to a compatible career area.|C. To get a large toolbox of inventions.|D. To help one put a high value on "C" values.,B
50, 听力第一章,,single,A. Perfection.|B. Compromise.|C. Integrity.|D. Label.,C
51, 听力第一章,,single,A. He participates in abundant activities.|B. He hangs out with friends a lot.|C. He stays at home doing house chores.|D. He goes back to college to pursue a new degree.,A
52, 听力第一章,,single,A. He practises dancing to become a professional dancer.|B. He becomes a member of an organisation and offers some consultation.|C. He enriches his experience and turns out to be the best architect.|D. He offers simple and cheap services to some companies.,B
53,听力第一章,,single,"A. Good painting and handwriting skills.|B. Energy, brainpower and enthusiasm.|C. Excellent education, desire to work and easy-going personality.|D. Working experience, expertise and free time.",D
54, 听力第一章,,single,A. Neutral.|B. Sceptical.|C. Positive.|D. Critical.,C
55, 听力第一章,,single,A. China's aging population will be over 249 million by 2026.|B. China has the world's largest number of elderly population.|C. China is already one of the world's aging societies.|D. China's aging population increases from 16% to 20%.,B
56, 听力第一章,,single,A. Encourage employees to increase their basic pension insurance.|B. Develop its economy rapidly.|C. Urge people to buy more pension funds.|D. Create more jobs for retirees.,B
57, 听力第一章,,single,A. People will be given a tax cut if they invest more in commercial pension funds.|B. People will take their future in their hands by putting money in the bank.|C. People will be given better health care in hospitals sponsored by tax payers.|D. People will be freed from paying taxes.,A
58, 听力第一章,,single,A. Old people are having limited possibilities to make contributions.|B. Old people are less dependent on others.|C. Old people are reluctant to use their expertise and experience.|D. Old people are integrated in making policies.,A
59, 听力第一章,,single,A. Close ties among family members.|B. Governmental support.|C. The low cost of family care.|D. The improved family conditions.,B
60, 听力第一章,,single,A. Offer better protection for all old people.|B. Pay more attention to the financial problems of the elderly.|C. Realize that people have different roles when they are of different ages.|D. Acknowledge people's active participation in society regardless of their ages.,D
61, 听力第一章,,single,A. The development of China's space exploration.|B. International space collaboration.|C. The cost of space exploration.|D. The benefits of space exploration.,A
62, 听力第一章,,single,A. It is too fast to catch up with.|B. One must move along and catch up with it.|C. It has plenty of space for other countries.|D. It warmly invites other countries to join in.,B
63, 听力第一章,,single,A. Because it is a common dream of all humankind.|B. Because it is a symbol of victory.|C. Because it always has direct returns in our daily life.|D. Because it benefits humans and the whole world.,D
64, 听力第一章,,single,A. The cost of space exploration is not affordable.|B. It has always remained at leading position.|C. It has indirect returns in daily life.|D. It is open to international collaboration.,D
65, 听力第一章,,single,A. To find out new villages.|B. To peer out at the stars.|C. To provide some insurance for ourselves.|D. To enjoy worlds that have lights.,C
66, 听力第一章,,single,A. Humans have been threatened by other species.|B. Humans have no way to get insurance.|C. Humans are too small compared with other species.|D. Humans are as fragile as other species.,D
67, 听力第一章,,single,A. The collapse of a star.|B. The collision between a star and the Sun.|C. The damage caused by nuclear war.|D. The existence of a self-sustaining colony.,D
68, 听力第一章,,single,A. He has lost his interest in space.|B. He prefers virtual space to real space.|C. He believes that the future of the space is bleak.|D. He looks forward to space exploration.,D
69, 听力第一章,,single,A. The social network carries people's infinite imagination.|B. The social network is what people really need.|C. People now indulge themselves in the virtual world.|D. People are no longer interested in the social network.,C
70, 听力第一章,,single,A. Space travel will finally become common.|B. It is impossible for people to visit Mars.|C. Nobody can afford the price of space travel.|D. The universe is to become a more prosperous place than the Earth.,A
71, 听力第一章,,single,A. It is one of the best-selling novels.|B. It is the man's homework for his history class.|C. It is a present from the woman.|D. It is recommended by the man.,D
72, 听力第一章,,single,A. Humans can survive it given a warning.|B. Humans can survive it no matter what.|C. Humans can't survive it due to its unpredictability.|D. Humans can't survive it due to its severity.,A
73, 听力第一章,,single,A. It always helps humans to avoid risks.|B. It often enables humans to survive disasters.|C. It sometimes creates threats to human existence.|D. It never changes the world for the better.,C
74, 听力第一章,,single,A. He is more optimistic than the woman.|B. He is as optimistic as the woman.|C. He is less optimistic than the woman.|D. He is not concerned about it.,C
75, 听力第一章,,single,A. The definition of agriculture.|B. The origin of agriculture.|C. The impact of agriculture.|D. The current status of agriculture.,D
76, 听力第一章,,single,A. By 11000 BCE.|B. By 8000 BCE.|C. By 6000 BCE.|D. By 5000 BCE.,C
77, 听力第一章,,single,A. Because of the change in climate.|B. Because of greater population density.|C. Because of increased pressure on natural resources.|D. Because of improved technology.,C
78, 听力第一章,,single,A. How historians study history.|B. How the Chinese Dynastic Cycle works.|C. How the civilization in China originates.|D. How the theory of history repeating itself is proposed.,B
79, 听力第一章,,single,A. The founding of the dynasty.|B. The flowering of the dynasty.|C. The decline of the dynasty.|D. The period of chaos.,B
80, 听力第一章,,single,A. Crime.|B. Disease.|C. Warfare.|D. Natural disasters.,A
