id,set,title,type,options,answer
20,操作系统题目,"操作系统的基本特性中，不包括下列哪个（  ）。",single,"A. 并发|B. 共享|C. 虚拟|D. 同步",D
21,操作系统题目,"多道批处理系统的缺点不包括下列哪个（  ）。",single,"A. 资源利用率高|B. 系统吞吐量大|C. 平均周转时间短|D. 无交互能力",C
22,操作系统题目,"进程从运行态进入就绪态的原因是（  ）。",single,"A. 进程获得了除 CPU 之外的所有资源|B. 进程的时间片用完|C. 进程执行了 P 操作|D. 进程请求 I/O 操作",B
23,操作系统题目,"下列哪一组选项完整且正确地列出了引起进程创建的典型事件（  ）。",single,"A. 用户登录、作业调度、提供服务、应用请求|B. 用户登录、作业调度、提供服务、进程阻塞|C. 用户登录、作业调度、进程通信、应用请求|D. 用户登录、作业调度、资源分配、应用请求",A
24,操作系统题目,"下列关于处理器调度层次的说法中，正确的是（  ）。",single,"A. 高级调度又称长程调度或作业调度；低级调度又称短程调度或进程调度；中级调度又称中程调度或内存调度。|B. 高级调度又称短程调度或作业调度；低级调度又称长程调度或进程调度；中级调度又称中程调度或内存调度。|C. 高级调度又称长程调度或作业调度；低级调度又称中程调度或进程调度；中级调度又称短程调度或内存调度。|D. 高级调度又称长程调度或内存调度；低级调度又称短程调度或进程调度；中级调度又称中程调度或作业调度。",A
25,操作系统题目,"在单道批处理系统中，某作业的执行过程如下：CPU 运算 20ms，I/O 操作 30ms，CPU 运算 10ms，I/O 操作 10ms，CPU 运算 5ms。假设 I/O 操作期间 CPU 必须空闲等待，并且忽略操作系统调度开销。则该作业从开始到结束，CPU 的利用率最接近于（  ）。",single,"A. 30.0%|B. 46.7%|C. 50.0%|D. 60.0%",B
26,操作系统题目,"在计算机系统上配置 OS，其主要目标是实现：方便性、有效性、______、开放性。",short,,"可扩充性"
27,操作系统题目,"进程是程序的执行 process，是系统进行______和调度的一个独立单位。",short,,"资源分配"
28,操作系统题目,"进程调度的任务主要有 3 个，分别是：保存处理机的现场信息、按某种算法选取进程、把______分配给进程。",short,,"CPU"
29,操作系统题目,"产生死锁的必要条件包括：互斥条件、______、不可抢占条件、循环等待条件。",short,,"请求和保持条件"
30,操作系统题目,"假脱机（SPOOLing）系统中，输入进程也称预输入进程，用于模拟脱机输入时的______。",short,,"外围输入机"
31,操作系统题目,"目前，最简单的文件目录形式是单级文件目录 and ______。",short,,"二级文件目录"
32,操作系统题目,"空闲链表法中，根据构成空闲链表所用的基本元素的不同，可把链表分成两种形式：空闲盘块链和______。",short,,"空闲盘区链"
33,操作系统题目,"对于通用计算机而言，主存储器一般包括：高速缓存、______、磁盘缓存。",short,,"内存"
34,操作系统题目,"操作系统的基本特征是并发、共享、虚拟和______。",short,,"异步性"
35,操作系统题目,"进程的实体由程序段、数据段和______三部分组成。",short,,"PCB"
36,操作系统题目,"在进程调度中，优先级调度算法可分为抢占式和______两种方式。",short,,"非抢占式"
37,操作系统题目,"死锁避免方法中，最著名的算法是______算法。",short,,"银行家"
38,操作系统题目,"在分页存储管理方式中，物理内存被划分为大小相等的______。",short,,"物理块"
39,操作系统题目,"文件系统为每个文件设置了______，用于存储文件的描述信息和控制信息。",short,,"FCB"
40,操作系统题目,"引入缓冲技术的主要目的是缓解 CPU 与 I/O 设备之间______的矛盾。",short,,"速度不匹配"
41,操作系统题目,"在段页式存储管理方式中，逻辑地址由段号、______和页内偏移三部分组成。",short,,"页号"
