id,set,title,type,options,answer
132,计算机组成原理,半导体 SRAM 靠____ 存储信息，半导体 DRAM 靠_______存储信息。,short,,触发器；电容
133,计算机组成原理,动态 RAM 的刷新方式通常有____、____、____三种。,short,,集中刷新；分散刷新；异步刷新
134,计算机组成原理,如果 Cache 的容量为 128 块，在直接映象下，主存中第 498 块映象到缓存第____块。,short,,114
135,计算机组成原理,如果 Cache 的容量为 128 块，在直接映象下，主存中第 356 块映象到缓存第____块。,short,,100
136,计算机组成原理,如果 Cache 的容量为 128 块，在直接映射下，主存中第 410 块映射到缓存第____块。,short,,26
137,计算机组成原理,如果 Cache 的容量为 128 块，在直接映射下，主存中第 354 块映射到缓存第____块。,short,,98
138,计算机组成原理,存储系统层次结构中，解决 CPU 和主存速度不匹配问题的是____。,short,,缓存 - 主存
139,计算机组成原理,存储系统层次结构中，主要解决存储系统容量问题的是 ____。,short,,主存 - 辅存
140,计算机组成原理,半导体存储芯片的译码驱动方式有两种:____和 ____ 。,short,,线选法；重合法
141,计算机组成原理,若地址线为 20 根，字长为 32 位，按字节寻址空间为____，按字寻址空间为____。,short,,1M；256K
142,计算机组成原理,SRAM 芯片 6116 (2k×8 位) 有____位地址线、____位数据线。,short,,11；8
143,计算机组成原理,保存当前欲执行的指令的寄存器称为____，保存当前欲执行的指令的地址的寄存器称为____。(需填写中文全称和英文缩写),short,,指令寄存器 (IR)；程序计数器 (PC)
144,计算机组成原理,4 位二进制补码所能表示的十进制整数范围是_____至________。,short,,-8；+ 7
145,计算机组成原理,整数定点机中，8 位二进制反码所能表示的十进制整数范围是 ____至 ____ 。,short,,-127；+127
146,计算机组成原理,整数定点机中，8 位二进制补码所能表示的十进制整数范围是____至 ____ 。,short,,-128；+127
147,计算机组成原理,常见的集中控制优先权仲裁方式有____ 、计数器定时查询和独立请求方式。,short,,链式查询
148,计算机组成原理,在小数定点机中，采用 1 位符号位，若寄存器内容为 10000000，当它分别表示为原码、补码和反码时，其对应的真值分别为____、和(均用十进制表示)。,short,,-0.0；-1；-(1-2 ^-7)
149,计算机组成原理,在整数定点机中，采用 1 位符号位，若寄存器内容为 10000000，当它分别表示为原码、补码和反码时，其对应的真值分别为____、和(均用十进制表示)。,short,,-0；-128；-127
150,计算机组成原理,SRAM 芯片 6116 (2k×8 位) 有_______位地址线、_______位数据线。,short,,11；8
